User,Review
"Anonymous
GenderFemale
Age35 to 44","5 out of 5 stars.
NICE SIDE BY SIDE
8 MONTHS AGO
Best side by side nice product colour was fabulous best product also cooling was very good
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few months
What is your primary reason for choosing LG?Customer Service
Was this an in-store or online purchase?In-store
Select the user type that you most relate toText & Calls User
Yes, I recommend this product.
Helpful?
1 Helpful(1)
7 Not helpful(7)
Report"
Anonymous,"5 out of 5 stars.
GREAT FEATURES
A MONTH AGO
I bought black colour yesterday Best side by side nice product colour is fabulous awesome product also cooling was very good..
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few hours
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
Suraj,"5 out of 5 stars.
GREAT FINISHING AND GOOD LOOK
3 MONTHS AGO
Best ref and WiFi connectivity and best mini air purifier
Helpful?
2 Helpful(2)
0 Not helpful(0)
Report"
"AKSHU
GenderMale
Age25 to 34","5 out of 5 stars.
GREAT
5 MONTHS AGO
Got it 3 days ago i love it ,i bought white colour i regret a but ..i wish i had got the black since this colour needs lot of room light to show its beauty
Helpful?
1 Helpful(1)
0 Not helpful(0)
Report"
