User,Review
SK333,"5 out of 5 stars.
2 MONTHS AGO
Lg Good company of my home decore Is my life good.
Helpful?
2 Helpful(2)
0 Not helpful(0)
Report"
"Zuber
Godhra","5 out of 5 stars.
GOOD
8 MONTHS AGO
2 months great like a brand LG power saving cooling
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few months
Was this an in-store or online purchase?In-store
Select the user type that you most relate toStyle Conscious
Yes, I recommend this product.
Helpful?
7 Helpful(7)
0 Not helpful(0)
Report"
sudhir,"5 out of 5 stars.
HASGREATE FEATURES BUT CONFUSED WITH HYGIENE FRESH
11 MONTHS AGO
I both it 14sep 2023 it's manufactured date is 3sep 2023
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
1 Helpful(1)
201 Not helpful(201)
Report"
"Thir4u
Bangalore
GenderMale
Age45 to 54","5 out of 5 stars.
AFFORDABLE PRICE THAN OTHER BRANDS
A YEAR AGO
Too silent compressor less power consumption reasonable price but all new features available Least but not d last Steel body looking simply great.
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Online Research
Was this an in-store or online purchase?Online
Select the user type that you most relate toBussiness / Web User
Yes, I recommend this product.
Helpful?
4 Helpful(4)
7 Not helpful(7)
Report"
"Neo
Bangalore
GenderMale
Age18 to 24","5 out of 5 stars.
VERY POWERFULL SYSTEMS. V. GOOD
A YEAR AGO
Very good. Excellent very good and styles. Excellent always LG
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
9 Helpful(9)
20 Not helpful(20)
Report"
"Jay94
Gujarat
GenderMale
Age45 to 54","5 out of 5 stars.
VERY PREMIUM.
12 DAYS AGO
I bought this last week. Satisfied with the product.
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
"Dharmesh
GenderMale
Age25 to 34","5 out of 5 stars.
GREAT SMART REFRIGERATOR
8 MONTHS AGO
I bought this item one month back. It performance is very satisfactorily. It has smart function which I use frequently. Very Happy
Helpful?
3 Helpful(3)
2 Not helpful(2)
Report"
