User,Review
"Dipu
Surat
GenderMale
Age45 to 54","5 out of 5 stars.
FIVE DESIGN AND GREAT PERFORMANCE
A YEAR AGO
I brought one month ago at very reasonable price with lgindia online website.. good quality product..Happy to purchase
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few months
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Yes, I recommend this product.
Helpful?
9 Helpful(9)
9 Not helpful(9)
Report"
"Sagar
Bangalore
GenderMale
Age35 to 44","5 out of 5 stars.
GOOD ONE..!
9 MONTHS AGO
Good One..! Super Cool Product. I would recommend this one to my friends .. its little bulky but it's a great product.
Best FeaturesEasy To Use, Quality, Style/Design, Performance
How long have you owned this product?A few months
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
8 Helpful(8)
8 Not helpful(8)
Report"
"Sairam
Hyderabad
GenderMale
Age45 to 54","5 out of 5 stars.
GREAT REFRIGERATOR
9 MONTHS AGO
One month 15 days back i purchased in Bajaj electronics and it's too good.
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
7 Helpful(7)
2 Not helpful(2)
Report"
Subha,"5 out of 5 stars.
FIVE DESIGN AND GREAT PERFORMANCE
A YEAR AGO
I brought one month ago at very reasonable price with lgindia online website.. good quality product..Happy to purchase
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few months
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Yes, I recommend this product.
Helpful?
9 Helpful(9)
9 Not helpful(9)
Report"
