User,Review
"Dhruv
Patna
GenderMale
Age18 to 24","4 out of 5 stars.
AFFORDABLE AND FEATURE FULL
8 DAYS AGO
I brought this refrigerator yesterday, It looks so astonishing and does not produces any sound while operating. It has 5 star rating which is a money saver and works very Fine.
Best FeaturesQuality, Style/Design
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
1 Helpful(1)
0 Not helpful(0)
Report"
TM,"5 out of 5 stars.
EXCELLENT SERVICE AND PRODUCT
A YEAR AGO
LG service is excellent. The fridge comes on time . Excellent fridge at this price. Tough shell and good features.
Yes, I recommend this product.
Helpful?
8 Helpful(8)
6 Not helpful(6)
Report"
Dip,"5 out of 5 stars.
GREAT FEATURES.
3 MONTHS AGO
I bought this two months ago. Till Date there is no issue.
Helpful?
2 Helpful(2)
2 Not helpful(2)
Report"
