User,Review
"Manish kumar
Faridabad
GenderMale
Age25 to 34","5 out of 5 stars.
OSM REFRIGERATOR
A YEAR AGO
Exlent refrigerator and Cooling is osm this refrigerator is exlent
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
8 Helpful(8)
6 Not helpful(6)
Report"
"Ranjeet
Delhi
GenderMale
Age35 to 44","5 out of 5 stars.
REALY ITS THE BEST PRODUCT ANTHIS PRICE
A YEAR AGO
Very good wroking cooling is also exclentueueuusjusiwj jsuududuud je8jjsiwolahye
How long have you owned this product?A few months
What is your primary reason for choosing LG?Customer Service
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
Helpful?
11 Helpful(11)
5 Not helpful(5)
Report"
