User,Review
MSK,"5 out of 5 stars.
LG MOST TRUSTABLE BRAND I AM SO HAPPY WITH LG
6 MONTHS AGO
very nice product i was fully happy whit this ac I got It in the very best price
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toText & Calls User
Yes, I recommend this product.
Helpful?
22 Helpful(22)
45 Not helpful(45)
Report"
"cherry
HYD
GenderMale
Age25 to 34","4 out of 5 stars.
BEST PERFORMANCE
24 DAYS AGO
nice product and best performance in cooling, out door unit sound is very less
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
