User,Review
"Sourabh Sobti
GenderMale
Age25 to 34","4 out of 5 stars.
COOLING IS GOOD
3 DAYS AGO
Cooling is start from next 5 minutes, installation service is poor
Best FeaturesQuality
How long have you owned this product?A few months
What is your primary reason for choosing LG?Recommendation
Was this an in-store or online purchase?In-store
Select the user type that you most relate toText & Calls User
Helpful?
1 Helpful(1)
2 Not helpful(2)
Report"
SANAULLAH,"5 out of 5 stars.
VERY VERY EXCELLENT
A MONTH AGO
Supper excellent and nice products virat mode very comfortable and all is well
Yes, I recommend this product.
Helpful?
2 Helpful(2)
3 Not helpful(3)
Report"
LG split AC,"5 out of 5 stars.
VERA MARI❤️‍🔥
4 MONTHS AGO
INSTANTLY COOLING WITH GOOD POWER SAVING 24 MODEL THIS MODEL WOOW GOOD
Best FeaturesPerformance
How long have you owned this product?A few days
What is your primary reason for choosing LG?Online Research
Was this an in-store or online purchase?In-store
Helpful?
4 Helpful(4)
5 Not helpful(5)
Report"
"Tomz
GenderMale
Age18 to 24","5 out of 5 stars.
GOOD PRODUCTS IN LG COMPANY I LIKE THIS LG AIR CON
4 MONTHS AGO
Good products and best discounts good quality ilove
Best FeaturesQuality
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toBussiness / Web User
Yes, I recommend this product.
Helpful?
14 Helpful(14)
6 Not helpful(6)
Report"
"Sukumar
India andhra pradesh
GenderMale
Age35 to 44","5 out of 5 stars.
VERY GOOD PRODUCT.
5 MONTHS AGO
Very good product, but wifi function not available in this.
Best FeaturesPerformance
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toText & Calls User
Yes, I recommend this product.
Helpful?
28 Helpful(28)
28 Not helpful(28)
Report"
CHILLU,"5 out of 5 stars.
GOOD AC
6 MONTHS AGO
All the features are good and the colling is also very good, nice ac. but there is one con which is the lack of light in the remote display
Best FeaturesPerformance
How long have you owned this product?A few months
What is your primary reason for choosing LG?Online Research
Was this an in-store or online purchase?Online
Yes, I recommend this product.
Helpful?
18 Helpful(18)
19 Not helpful(19)
Report"
"Angadi346
Telangana.
GenderMale
Age35 to 44","5 out of 5 stars.
EXCELLENT FEATURE.
3 MONTHS AGO
I bought 1 year and I'm very happy good thing and electricity consumption ❣️.
Helpful?
11 Helpful(11)
20 Not helpful(20)
Report"
"Krishna
Narasapur andrapradesh.
GenderMale
Age35 to 44","5 out of 5 stars.
GOOD STAR AC
5 MONTHS AGO
INSTANTLY COOLING WITH GOOD POWER SAVING 24 MODEL THIS MODEL WOOW GOOD
Helpful?
11 Helpful(11)
5 Not helpful(5)
Report"
