User,Review
"Hareshbhai
India
GenderMale
Age45 to 54","5 out of 5 stars.
GREAT FEATURE
8 DAYS AGO
Lg is best in market. Lg ac cooling good cooling of ac is fantastic
Best FeaturesQuality
How long have you owned this product?A few years
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toText & Calls User
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
"Abhishek
Jaipur
GenderMale
Age25 to 34","5 out of 5 stars.
GREAT AC
A MONTH AGO
I am very happy with product. Electricity consumption also very low of this Model.
Best FeaturesQuality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toBussiness / Web User
Yes, I recommend this product.
Helpful?
4 Helpful(4)
0 Not helpful(0)
Report"
"saurav
india","5 out of 5 stars.
GREAT
4 MONTHS AGO
silent ac, cooling great till now tested for 4 days
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Helpful?
26 Helpful(26)
37 Not helpful(37)
Report"
