User,Review
suhana,"5 out of 5 stars.
GREAT AC
3 MONTHS AGO
Nice cooling effect. Works well in summer heat at 50 deg
Best FeaturesPerformance
How long have you owned this product?A few days
What is your primary reason for choosing LG?Recommendation
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
0 Helpful(0)
1 Not helpful(1)
Report"
"Ganny
Rajasthan
GenderMale
Age35 to 44","5 out of 5 stars.
AWESOME COOLING
A MONTH AGO
I bought it 6 month ago and it is very nice and it's cooling is awesome and it is very silent
Helpful?
1 Helpful(1)
0 Not helpful(0)
Report"
