Review
"1 out of 5 stars.
HARDWARE CHEAP, PRICE ARE HIGH
10 MONTHS AGO
43 inch smart LED available at approx Rs 30,000, but if same led's screen gets damage ,that will be available at Rs 22000, Screen damage just with remote hit !
How long have you owned this product?A few years
What is your primary reason for choosing LG?Online Research
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Helpful?
1 Helpful(1)
0 Not helpful(0)
Report"
"1 out of 5 stars.
MULTIPLE ISSUE TV TURNS OF SUDDENLY
A YEAR AGO
Tv turns of suddenly, wifi is not working properly. within 6months more than 5than tech has visited for issues occurring on TV. Major board on TV is replaced but issue is not resolved am and team is denying replacement and bad support from support line.I am disappointed by the product. I would never recommend and purchase any products from LG.waste of money
How long have you owned this product?Several months
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
No, I do not recommend this product.
Helpful?
3 Helpful(3)
1 Not helpful(1)
Report"
"3 out of 5 stars.
NO MAGIC REMOTE
2 YEARS AGO
I brought lg 5600 but not happy n suggest for all my frds don't buy
How long have you owned this product?A few months
What is your primary reason for choosing LG?Recommendation
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
No, I do not recommend this product.
Helpful?
12 Helpful(12)
4 Not helpful(4)
Report"
"3 out of 5 stars.
APPSTORE AND SCREEN MIRRORING
2 YEARS AGO
There is no Google play store app. Also screen casting is not their
Best FeaturesQuality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few months
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toTech Lover
No, I do not recommend this product.
Helpful?
5 Helpful(5)
3 Not helpful(3)
Report"
"4 out of 5 stars.
VERY NICE TV BUT DON'T ABLE TO DOWNLOAD APP
3 YEARS AGO
Very good but I am not able to download play store or jio TV app plz add these app in your next update
Best FeaturesPerformance
How long have you owned this product?About a year
What is your primary reason for choosing LG?Recommendation
Was this an in-store or online purchase?In-store
Select the user type that you most relate toApps & Games User
Yes, I recommend this product.
Helpful?
7 Helpful(7)
9 Not helpful(9)
Report"
"5 out of 5 stars.
MOST WONDERFUL FULL HD TV BY LG
2 YEARS AGO
I bought a brand new LG tv which is 43 inches and full HD 2021 model. I am so amazed to see its quality that I am gonna refer the same one for my frnds in future. Thank you LG
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Customer Service
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
4 Helpful(4)
2 Not helpful(2)
Report"
"4 out of 5 stars.
VERY NICE TV BUT DON'T ABLE TO DOWNLOAD APP
J jj
3 YEARS AGO
Very good but I am not able to download play store or jio TV app plz add these app in your next update"
"3 out of 5 stars.
NO MAGIC REMOTE
Avi
2 YEARS AGO
I brought lg 5600 but not happy n suggest for all my frds don't buy"
"5 out of 5 stars.
GOOD
5 MONTHS AGO
Make if possibility of emi and ensure, and get back to me
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
