User,Review
"Ranjith
GenderMale
Age25 to 34","5 out of 5 stars.
GREAT ONE
2 YEARS AGO
Had a nice experience with the purchase. It's a great tv to use
How long have you owned this product?A few days
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
14 Helpful(14)
12 Not helpful(12)
Report"
"Bhavesh
Mundara
GenderMale
Age18 to 24","5 out of 5 stars.
SO NICE LG TV
3 YEARS AGO
So nice lg tv so nice woh mast tv so amazing and beautiful
Yes, I recommend this product.
Helpful?
21 Helpful(21)
18 Not helpful(18)
Report"
