User,Review
King of LG TV,"5 out of 5 stars.
120 FBS
29 DAYS AGO
Worth model 65in 130000 best price and 5 year's software update is nice
Best FeaturesQuality
How long have you owned this product?A few days
Was this an in-store or online purchase?In-store
Select the user type that you most relate toText & Calls User
Originally posted on 65QNED88T6A
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
"Suriya
GenderMale
Age18 to 24","5 out of 5 stars.
5 YEAR RE NEW
A MONTH AGO
Awesome pictures Likely smooth brighter than sony lg qned nice
Yes, I recommend this product.
Originally posted on 55QNED88T6A
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
"Nitin
Age25 to 34","5 out of 5 stars.
EXCELLENT TV
19 DAYS AGO
I bought this tv and its a wonderfull tv.. Value of money..
Originally posted on 55QNED88T6A
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
Baby,"5 out of 5 stars.
ONE OF THE BEST TV
2 MONTHS AGO
Lg is making one of the best QNED tv now the days wonderful experience with all compatibility..
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
S,"5 out of 5 stars.
DOLBY ATMOS DOLBY VISION ONE OF BEST FEATURE
2 MONTHS AGO
It’s very great good tv Picture clarity is amazing
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
