User,Review
"Satish
GenderMale
Age35 to 44","5 out of 5 stars.
GREAT FITURES
A MONTH AGO
9kg fhp1209z9b is very good and strong washing machine I buying 1months by lg website very low price by credit card and offers thanks lg
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Online Research
Was this an in-store or online purchase?Online
Select the user type that you most relate toText & Calls User
Yes, I recommend this product.
Helpful?
1 Helpful(1)
0 Not helpful(0)
Report"
"Shry
New Delhi
GenderMale
Age25 to 34","5 out of 5 stars.
VERY GOOD QUALITY
A YEAR AGO
Just Go for it! The Product Quality is very Good and the Features and Wash Quality is very Good Have been using the machine and happy with my purchase
Best FeaturesFeatures/Settings
How long have you owned this product?A few months
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
17 Helpful(17)
22 Not helpful(22)
Report"
