User,Review
Tej,"4 out of 5 stars.
CUSTOMER DISSATISFACTION
15 DAYS AGO
I have still not got my invoice of the product purchased . Been following up on the chatbox . Want to buy few more products for the house but this experience is making me think twice
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
No, I do not recommend this product.
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
"Chris
GenderFemale
Age25 to 34","4 out of 5 stars.
I SPECIFICALLY BOUGHT IT FOR THE RAT AWAY TECHNOLO
5 MONTHS AGO
Using this washing machine for one month. Quite good experience. Let's see in future.
Best FeaturesFeatures/Settings
How long have you owned this product?A few months
What is your primary reason for choosing LG?Customer Service
Was this an in-store or online purchase?Online
Select the user type that you most relate toText & Calls User
Yes, I recommend this product.
Helpful?
3 Helpful(3)
9 Not helpful(9)
Report"
"P7020NGAZ
GenderMale
Age35 to 44","5 out of 5 stars.
SADSSADSADASDADADDDASDASDADSADDASDSADADADASDASDADD
A MONTH AGO
this is LG company is very good product wash capacity batter wash
Yes, I recommend this product.
Helpful?
1 Helpful(1)
1 Not helpful(1)
Report"
zain,"5 out of 5 stars.
GREAT
3 MONTHS AGO
only buy from lg website Pratham is good seller. best product
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Helpful?
1 Helpful(1)
1 Not helpful(1)
Report"
"raju
mumbai
GenderMale
Age25 to 34","5 out of 5 stars.
VALUE FOR MONEY EASY FUNCTIONS
A YEAR AGO
Less noisy, more stable durable, clean wash in this category, full performance with 7kg cloth
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toText & Calls User
Yes, I recommend this product.
Helpful?
6 Helpful(6)
4 Not helpful(4)
Report"
"Anonymous
Lucknow
GenderMale
Age25 to 34","5 out of 5 stars.
NICE WASH
A YEAR AGO
Wow, it's nice purchase for my family. Getting familiar with product. Still to use all mode, so waiting for all utilitization
Best FeaturesQuality
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
10 Helpful(10)
7 Not helpful(7)
Report"
"Mann
Samastipur
GenderMale
Age35 to 44","3 out of 5 stars.
GOOD
2 MONTHS AGO
It's good but there is no wheel on base so very difficult to move on ....even drain pipe & cable is to short..machine make too noise when it's work..
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
