Review
"4 out of 5 stars.
DOES THE JOB
A YEAR AGO
happy with product, noise levels are less compared to my old lg machine.
Best FeaturesEasy To Use, Quality, Features/Settings
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
19 Helpful(19)
9 Not helpful(9)
Report"
"4 out of 5 stars.
DOES THE JOB
sam
A YEAR AGO
happy with product, noise levels are less compared to my old lg machine."
"1 out of 5 stars.
WORST PRODUCT
ANANDAN GOPAL
7 MONTHS AGO
Product which had been supplied you is defective and how the new machine have defective front door. It is really frustrating and is worst product which i have received LG front load machine FHM 1207SDW MODEL. Don't but this product through LG web site and anywhere else"
"1 out of 5 stars.
WORST PRODUCT
7 MONTHS AGO
Product which had been supplied you is defective and how the new machine have defective front door. It is really frustrating and is worst product which i have received LG front load machine FHM 1207SDW MODEL. Don't but this product through LG web site and anywhere else
Helpful?
27 Helpful(27)
14 Not helpful(14)
Report"
"5 out of 5 stars.
WONDERFUL FEATURES
A MONTH AGO
Earlier we had 5.5 KG LG direct drive machine. When we wanted to change we bought this machine. its been month the machine is very good. we feel we made a right decision and running good
Helpful?
0 Helpful(0)
2 Not helpful(2)
Report"
