User,Review
"ps
Ahmedabad
GenderMale
Age25 to 34","4 out of 5 stars.
IT'S OVERALL GOOD PRODUCT
A YEAR AGO
Product is good overall, could have provided diamond glass with this product
Best FeaturesEasy To Use, Quality, Performance, Features/Settings
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toBussiness / Web User
Yes, I recommend this product.
Helpful?
2 Helpful(2)
1 Not helpful(1)
Report"
Anonymous,"5 out of 5 stars.
VALUE FOR MONEY
3 MONTHS AGO
Easy to use, helpful, clean and dry clothes. Water savings.
Best FeaturesEasy To Use
How long have you owned this product?A few months
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
0 Helpful(0)
1 Not helpful(1)
Report"
"Ravi
India
GenderMale
Age45 to 54","5 out of 5 stars.
VERY GOOD SMART FEATURES
A YEAR AGO
I THINK THE BEST WASHING MACHINE FOR COMMON HOME USERS
Best FeaturesEasy To Use, Quality, Performance, Features/Settings
How long have you owned this product?A few hours
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Helpful?
7 Helpful(7)
11 Not helpful(11)
Report"
"Anonymous
SILIGURI TOWN
GenderMale
Age65 or over","5 out of 5 stars.
SMOOTH OPERATION
22 DAYS AGO
Power Saving Washing Machine with inverter motor. Highly good product. Delivered on time scratch less with nice packing... Brand installation and demo also on time. Must go for it as budget friendly Value for money. Very easy to use. Easy to install...
Helpful?
0 Helpful(0)
2 Not helpful(2)
Report"
TheOP,"5 out of 5 stars.
GREAT
A YEAR AGO
Excellent I Am Happy And Suggest You To Buy This Great
Yes, I recommend this product.
Helpful?
10 Helpful(10)
6 Not helpful(6)
Report"
