User
"washing machine
Jolarpettai
GenderFemale
Age25 to 34"
"abhay
GenderMale
Age35 to 44"
"Roshan ara
GenderFemale
Age65 or over"
Roshan ara
"Ajay Kumar
Chauradano
GenderMale
Age18 to 24"
